run,seed,status,screenshotIndex,screenshotFile,size,river,shore,walls,retries,rejectDistinct,rejectDistance,rejectSide,timeout,cityGenerationMs,navMeshGenerationMs,pathfindingUntilFoundMs,pathfindingMsByRetry,startX,startY,startWardType,startArea,goalX,goalY,goalWardType,goalArea,straightLineDistance,selectedRouteIndexes,route1Length,route2Length,route3Length,route4Length,route1Side,route2Side,route3Side,route4Side,route1SideLabel,route2SideLabel,route3SideLabel,route4SideLabel,candidateRouteLengths,reason,failedAttempts
254,754556467,ok,254,route-stress-0254.png,36,true,false,true,1,0,0,1,0,460,15,657,258|396,64.078489,21.726462,gate,inner,86.706092,-11.434271,outerGarden,outsideWall,40.145,2|3,,132.894,148.806,,5.501739,-16.133153,16.695563,,R,L,R,,67.352|132.894|148.806,ok,"-5.849860,-41.108148>-3.931218,58.035197:side"
255,1290860791,ok,255,route-stress-0255.png,31,true,true,true,1,0,0,1,0,305,14,307,173|130,-3.25646,79.235699,gate,inner,7.886721,-21.231765,park,inner,101.084,2|3,,117.645,119.604,,-6.50709,-5.952233,6.67752,15.07299,L,L,R,R,113.655|117.645|119.604|140.498,ok,"-68.856955,-11.349945>-36.229647,54.951459:side"
256,1470467762,ok,256,route-stress-0256.png,38,true,true,false,3,0,0,3,0,485,10,520,100|210|115|88,6.957295,22.378472,generic,inner,-26.218504,44.854937,generic,inner,40.073,3|4,,,74.823,84.822,0.800597,5.581168,10.796792,-7.463591,R,R,R,L,48.765|58.071|74.823|84.822,ok,"112.134334,-1.604255>29.662506,43.141912:side;84.937365,-46.074855>-24.138693,-20.384121:side;-3.708279,5.236737>41.214522,13.300780:side"
257,171249200,ok,257,route-stress-0257.png,25,true,true,true,2,0,0,2,0,388,11,518,468|6|42,77.760461,-38.023176,gate,inner,30.563258,65.365133,generic,inner,113.652,2|3,,168.536,171.492,,11.494867,17.079069,-6.489833,-29.31691,R,R,L,L,162.848|168.536|171.492|187.063,ok,"30.948099,26.488497>88.422614,80.281290:side;-8.506510,11.890502>75.494903,49.159229:side"
258,459044622,ok,258,route-stress-0258.png,26,true,true,false,13,0,0,13,0,312,7,411,134|74|28|12|14|44|8|33|13|18|5|5|10|5,-36.098353,59.602055,generic,inner,-1.549152,-35.063232,generic,inner,100.773,3|4,,,123.651,125.814,-3.07457,9.17408,10.846101,-7.278121,L,R,R,L,117.98|120.933|123.651|125.814,ok,"30.893624,55.987528>55.347796,-17.278374:side;42.630921,38.868242>-54.648707,28.445751:side;6.314773,41.096056>53.515412,-26.673317:side;47.726558,9.466391>29.691841,-34.366037:side;30.875188,34.392964>-39.594461,-9.909301:side;-58.835142,-15.437769>53.584502,-16.861399:side;5.808641,19.533939>57.766431,2.073412:side;30.190925,62.166183>-36.569161,58.992928:side;55.240041,12.731512>49.975616,-37.287352:side;-78.838269,3.681412>11.991199,18.600083:side;-12.018512,10.577703>59.729893,20.759566:side;-22.079776,6.111397>4.437139,46.224167:side;-15.587939,-45.518846>-2.946667,43.317397:side"
259,2093697756,ok,259,route-stress-0259.png,38,false,false,true,0,0,0,0,0,375,13,74,71,-76.750014,-36.616147,gate,inner,-31.788401,-93.630029,gate,inner,72.609,3|4,,,108.167,110.476,-7.775217,-0.978947,-7.196553,4.272192,L,L,L,R,98.824|101.08|108.167|110.476,ok,
260,1579600032,ok,260,route-stress-0260.png,33,false,false,true,0,0,0,0,0,365,15,54,53,-63.188417,-4.913935,generic,inner,-30.88024,51.33366,generic,inner,64.866,2|3,,93.661,94.927,,-9.21954,-6.838924,10.366474,-16.667101,L,L,R,L,91.053|93.661|94.927|100.27,ok,
261,1408074141,ok,261,route-stress-0261.png,36,true,false,true,2,0,0,2,2,488,18,750,328|409|8,89.950894,28.277186,outerHighrise,outsideWall,85.422698,-34.350585,generic,inner,62.791,2|3,,129.257,135.799,,0.408071,1.545107,-12.163954,-14.850927,R,R,L,L,98.379|129.257|135.799|152.318,ok,"-8.664914,-10.713122>33.024677,-12.014878:side:timeout;35.278197,-41.178146>91.692301,43.537000:side:timeout"
262,497822839,ok,262,route-stress-0262.png,35,true,false,false,0,0,0,0,0,476,16,293,293,39.638331,69.601962,generic,inner,17.915308,-39.949128,generic,inner,111.684,1|2,145.705,147.65,,,-5.578764,9.28716,-12.75702,-9.291211,L,R,L,L,145.705|147.65|151.125|167.219,ok,
263,526700531,ok,263,route-stress-0263.png,33,false,true,true,0,0,0,0,0,318,14,123,121,-20.490182,-56.34368,generic,inner,-80.342976,13.533275,gate,inner,92.006,3|4,,,129.923,130.639,-7.269437,-9.383056,-14.713808,3.94023,L,L,L,R,115.35|124.992|129.923|130.639,ok,
264,1220240456,ok,264,route-stress-0264.png,26,false,true,false,9,0,0,9,0,361,4,293,69|35|47|32|13|49|6|20|5|12,13.413041,-24.303915,generic,inner,21.553627,27.795196,generic,inner,52.731,2|3,,81.584,83.654,,-0.07167,10.523567,-6.350535,9.921636,L,R,L,R,57.147|81.584|83.654|88.508,ok,"-37.911243,9.524431>11.674724,61.972884:side;-28.470197,78.066274>-9.031389,-21.581616:side;57.951756,-16.983442>-6.641923,39.954346:side;12.017792,6.240264>-25.061815,-21.597162:side;1.489535,41.830711>-55.930587,47.079921:side;-48.121130,-27.678399>-76.684440,16.125838:side;-1.104532,41.983478>-24.411060,-44.838049:side;-78.010203,9.968987>21.719860,-24.366988:side;-42.427018,-21.631463>44.850341,40.086334:side"
265,674999195,ok,265,route-stress-0265.png,32,true,true,false,0,0,0,0,0,233,11,183,183,-9.544412,-9.476783,cathedral,inner,56.625445,30.405646,generic,inner,77.26,3|4,,,127.919,130.553,7.586644,2.858967,9.153447,-3.603065,R,R,R,L,115.557|120.204|127.919|130.553,ok,
266,1580412211,ok,266,route-stress-0266.png,38,false,false,true,9,0,0,9,0,412,12,707,72|102|117|44|51|283|4|13|4|6,63.193542,63.655079,gate,inner,-51.7946,48.728864,generic,inner,115.953,3|4,,,168.582,169.355,-6.532956,-3.361642,-13.745886,2.142495,L,L,L,R,150.655|161.729|168.582|169.355,ok,"-1.845500,-4.919049>-32.852089,-44.292222:side;124.263672,3.813450>51.941976,-66.564073:side;50.278435,103.984869>-11.212767,22.019751:side;-25.895432,67.527274>63.839303,-7.032449:side;-48.581182,47.445249>-36.811537,-67.875927:side;-70.410320,68.903710>17.178870,105.722552:side;-26.303260,98.053208>18.016242,40.739675:side;31.879998,-7.063990>101.862669,64.291785:side;-71.111285,12.331709>-16.018101,0.936622:side"
267,596504810,ok,267,route-stress-0267.png,27,true,true,true,5,0,0,5,0,367,11,400,90|52|79|78|30|60,-28.532276,-48.007859,generic,inner,-0.383693,42.307455,generic,inner,94.6,3|4,,,135.826,145.356,-2.771637,1.777366,-15.226685,9.100449,L,R,L,R,102.223|112.645|135.826|145.356,ok,"-54.672290,-58.170546>-35.042218,-13.579069:side;7.343865,-17.563281>-27.555813,28.271395:side;37.789551,15.604412>49.211263,83.167333:side;-46.708074,68.474805>-10.667427,-12.638159:side;-65.271067,-57.715090>-74.182098,3.074839:side"
268,1487906533,ok,268,route-stress-0268.png,40,false,true,true,8,0,0,8,0,369,18,654,297|52|19|5|66|74|50|16|59,19.039545,-22.754055,park,inner,110.254211,51.043874,gate,inner,117.33,3|4,,,165.619,166.068,-7.061527,2.110953,-5.279253,7.484498,L,R,L,R,130.707|161.939|165.619|166.068,ok,"27.082287,78.947351>110.809507,20.121168:side;-40.736194,-46.876056>-13.384200,-3.401419:side;-1.317412,50.694691>-8.799883,-21.516361:side;47.746188,18.728268>-16.975074,34.361067:side;77.958314,-46.970804>114.137143,35.609521:side;55.670308,-84.495179>99.485281,-57.601439:side;137.376855,61.984255>63.499684,104.634005:side;62.699132,104.850334>45.481019,143.835963:side"
269,330827773,ok,269,route-stress-0269.png,32,false,true,true,1,0,0,1,0,393,11,96,67|28,14.190155,-61.973844,gate,inner,-53.138352,-50.671896,gate,inner,68.271,2|3,,89.177,90.496,,-4.047714,-4.979778,7.218716,0.400483,L,L,R,R,77.722|89.177|90.496|94.811,ok,"12.112650,-60.650407>-28.414312,12.000940:side"
270,1095876460,ok,270,route-stress-0270.png,34,false,true,false,1,0,0,1,0,317,7,167,77|88,-32.426231,-10.263847,generic,inner,7.669926,51.997547,generic,inner,74.055,2|3,,98.959,100.154,,-0.582123,-2.926026,9.024083,-6.010794,L,L,R,L,96.895|98.959|100.154|102.634,ok,"-62.887686,-9.173890>-22.697045,-36.140821:side"
271,448710787,ok,271,route-stress-0271.png,36,true,true,true,7,0,0,7,0,383,14,636,132|96|13|124|37|10|190|12,94.540379,14.03791,generic,inner,4.046467,11.527554,generic,inner,90.529,2|3,,110.091,110.144,,0.313811,9.491343,-5.714461,-9.542747,R,R,L,L,107.51|110.091|110.144|118.353,ok,"32.869584,-57.514491>115.538456,13.667228:side;2.046527,3.300254>23.907820,-36.539372:side;78.126514,-28.224842>6.562420,-15.087139:side;11.594564,-17.037856>74.282330,68.177338:side;7.621706,24.159871>71.364699,-3.747429:side;39.321264,-3.448237>25.424314,42.545609:side;63.160580,4.326593>114.805243,14.755169:side"
272,85876934,ok,272,route-stress-0272.png,35,true,true,true,2,0,0,2,0,396,17,478,170|234|67,64.059328,-18.59595,generic,inner,6.151648,-88.492626,generic,inner,90.768,2|3,,131.064,135.919,,3.94545,8.679238,-2.64665,-6.518656,R,R,L,L,115.012|131.064|135.919|146.324,ok,"46.583349,-73.254205>-27.339629,17.472203:side;112.080623,72.166716>8.217301,88.669166:side"
273,2122117826,ok,273,route-stress-0273.png,25,false,false,true,1,0,0,1,0,266,13,149,102|45,31.431229,33.855943,gate,inner,-9.379927,-20.668673,park,inner,68.106,3|4,,,98.362,99.119,-4.89524,3.181844,-10.528229,6.504489,L,R,L,R,75.338|87.103|98.362|99.119,ok,"-62.882862,41.118549>-34.327524,-12.567935:side"
274,2130895810,ok,274,route-stress-0274.png,25,false,false,true,0,0,0,0,0,227,7,93,92,-51.922882,2.910782,gate,inner,13.984364,-61.907602,generic,inner,92.44,3|4,,,118.809,119.826,6.297965,1.438712,-13.750701,4.639705,R,R,L,R,115.643|117.536|118.809|119.826,ok,
275,892628282,ok,275,route-stress-0275.png,34,true,true,true,1,0,0,1,0,230,14,464,307|156,17.845077,-103.330584,gate,inner,70.784641,0.736888,generic,inner,116.759,3|4,,,226.043,227.564,-18.492339,-26.621467,-28.122931,16.725698,L,L,L,R,212.85|222.23|226.043|227.564,ok,"38.154804,10.270796>56.636394,-83.709630:side"
276,818672987,ok,276,route-stress-0276.png,30,false,true,false,3,0,0,3,0,214,7,186,75|4|80|26,-15.280702,-88.848214,generic,inner,-23.139765,-19.112948,generic,inner,70.177,2|3,,107.471,110.33,,-5.974323,4.755832,-7.443921,-11.37319,L,R,L,L,102.566|107.471|110.33|114.788,ok,"-13.483257,-56.428648>-57.913933,23.621083:side;-30.470572,-39.747853>-29.760822,13.763103:side;-42.833424,41.584305>42.500330,17.067323:side"
277,1052366432,ok,277,route-stress-0277.png,26,true,false,true,18,0,0,18,0,323,10,724,136|75|128|21|15|16|57|8|85|68|8|17|8|22|11|12|9|5|7,25.048917,-28.160573,generic,inner,17.571439,18.411102,generic,inner,47.168,2|3,,64.881,65.571,,6.307549,-8.114954,3.666051,-0.671191,R,L,R,L,60.996|64.881|65.571|75.532,ok,"-23.260474,-26.899633>-69.784114,15.898433:side;-46.778783,45.304167>30.523628,41.377710:side;10.386837,-25.077538>-33.113526,58.005825:side;-28.161696,14.490765>0.654085,-64.559288:side;-15.401071,-42.438576>-48.624071,39.515195:side;-34.435279,58.756480>-18.172806,-29.515497:side;42.738155,32.273190>-15.121098,2.298779:side;-34.418925,14.155055>39.582017,34.444445:side;39.063218,-52.699341>-5.500338,10.549189:side;36.835754,-25.924136>45.157504,54.547258:side;27.554462,-25.119458>-12.279465,45.681887:side;14.152019,-43.767169>-17.382248,62.959164:side;20.925301,2.545781>-5.702180,-40.576063:side;14.275947,-43.732734>54.711194,-37.179575:side;21.851117,-61.107036>-37.118377,-14.641668:side;15.583852,19.231153>2.668862,-64.476349:side;-20.431464,-17.865545>-2.535824,31.607370:side;45.660998,11.106796>-1.870451,32.387802:side"
278,1221206243,ok,278,route-stress-0278.png,25,false,true,true,2,0,0,2,0,222,6,367,323|17|26,-25.001922,-21.189256,generic,inner,19.907934,-33.626161,generic,inner,46.6,2|3,,71.039,72.603,,3.617044,9.523484,-2.486464,-4.499287,R,R,L,L,54.312|71.039|72.603|77.192,ok,"59.643452,7.448814>54.265731,69.737912:side;2.569240,16.863907>45.190830,76.845584:side"
279,1878893938,ok,279,route-stress-0279.png,37,false,false,true,4,0,0,4,0,433,9,213,0|67|48|46|48,48.844667,57.639456,gate,inner,-23.55148,8.965552,park,inner,87.237,1|2,115.455,117.623,,,10.115866,-2.201741,14.349893,13.741341,R,L,R,R,115.455|117.623|134.654|139.287,ok,"-98.554040,-12.070214>-29.732825,26.103578:side;43.124339,24.211879>48.171259,-53.167092:side;-27.166950,100.563118>-24.730679,12.050562:side;-64.169998,-70.794559>-23.619170,-26.114987:side"
280,1040610450,ok,280,route-stress-0280.png,36,true,false,false,0,0,0,0,0,538,13,160,159,-29.248077,-36.880131,generic,inner,-76.106475,-20.133173,generic,inner,49.761,3|4,,,106.267,122.647,-2.650108,4.245164,8.817675,-11.883707,L,R,R,L,60.468|79.946|106.267|122.647,ok,
281,1784715175,ok,281,route-stress-0281.png,28,false,false,false,2,0,0,2,0,258,5,207,161|40|5,42.75661,-25.61889,generic,inner,-22.766406,1.324428,generic,inner,70.846,3|4,,,87.421,90.001,-0.813494,-6.67749,4.292205,-11.649799,L,L,R,L,77.941|80.503|87.421|90.001,ok,"48.092857,4.545085>-54.574213,-47.231938:side;-25.229268,32.454011>-75.671958,-14.214498:side"
282,1194828715,ok,282,route-stress-0282.png,29,false,true,true,1,1,0,0,0,235,8,140,61|78,-55.610155,-26.711561,gate,inner,-35.00478,32.6595,generic,inner,62.845,3|4,,,96.212,96.461,-5.052386,-14.073783,2.52877,-9.278424,L,L,R,L,93.425|94.945|96.212|96.461,ok,"73.777938,49.103067>10.590776,7.419031:distinct"
283,1157778348,ok,283,route-stress-0283.png,27,false,false,true,13,0,0,13,1,318,7,517,404|18|18|9|4|8|3|2|5|5|15|4|3|5,42.506651,41.935917,gate,inner,-59.088159,59.748824,outerHighrise,outsideWall,103.145,2|3,,134.862,136.751,,-2.844679,1.309747,-15.628705,-15.636847,L,R,L,L,126.025|134.862|136.751|143.596,ok,"12.979195,87.649003>-74.828021,10.770562:side:timeout;72.284847,30.469908>16.790732,-46.244773:side;-44.883099,-26.986255>-41.303024,69.688636:side;62.671964,32.821757>-28.482847,81.379880:side;54.350381,13.172126>17.534872,86.399802:side;-34.605235,-18.119116>76.041012,17.738071:side;-18.169685,9.623054>19.862467,-29.677543:side;36.228721,-41.513226>-4.237848,-6.787095:side;41.149239,71.424471>-14.576879,0.339458:side;-21.781176,83.945217>46.634347,34.827203:side;5.189172,1.634053>-72.130160,27.630741:side;-10.401195,5.194222>-6.709090,92.071852:side;3.543001,0.962387>-25.481748,35.805648:side"
284,1890170883,ok,284,route-stress-0284.png,31,true,false,false,0,0,0,0,0,497,11,209,208,19.604677,-69.415637,generic,inner,55.655115,6.816394,generic,inner,84.326,2|3,,135.241,135.446,,-3.52272,18.936877,-4.1044,17.454583,L,R,L,R,133.226|135.241|135.446|136.666,ok,
285,1148602437,ok,285,route-stress-0285.png,32,true,false,true,3,0,0,3,1,419,16,819,199|472|113|32,26.637671,-11.348366,park,inner,5.320178,-57.028803,gate,inner,50.41,3|4,,,101.665,102.472,-6.337009,11.20254,7.575316,-13.793846,L,R,R,L,72.437|85.978|101.665|102.472,ok,"-41.957308,62.678349>50.741190,41.401941:side;-58.169949,-2.871968>1.217886,67.272181:side:timeout;-27.846131,11.057812>-48.283401,59.552732:side"
